Player,Team,Runs,Matches,Average,Strike Rate
Virat Kohli,RCB,7412,252,38.67,130.15
Rohit Sharma,MI,7046,257,29.72,131.14
Shubman Gill,GT,3548,103,38.57,135.69
Suryakumar Yadav,MI,3594,150,32.09,145.33
KL Rahul,LSG,4683,132,45.47,134.61
MS Dhoni,CSK,5439,264,39.09,137.53
Sanju Samson,RR,4419,167,30.64,138.96
Ruturaj Gaikwad,CSK,2380,66,39.67,136.86
Faf du Plessis,RCB,4571,145,35.99,136.37
David Warner,DC,6565,184,40.52,139.77
AB de Villiers,RCB,5162,184,39.7,151.68
Chris Gayle,PBKS,4965,142,39.72,148.96
Ajinkya Rahane,CSK,4642,185,30.14,123.42
Shreyas Iyer,PBKS,2776,116,32,127.48
Rishabh Pant,DC,3284,111,35,148.45
Yashasvi Jaiswal,RR,1872,52,39,150.61
Ishan Kishan,MI,2644,105,28.43,135.82
Hardik Pandya,MI,2605,137,28.32,145.86
Dinesh Karthik,RCB,4842,257,26.32,135.36
Nitish Rana,KKR,2594,107,28.82,135.93
