Product,Price,Category,Quantity,Rating
Laptop,55000,Electronics,10,4.5
Smartphone,25000,Electronics,25,4.3
Headphones,2500,Electronics,40,4.1
Office Chair,8500,Furniture,15,4.4
Table,12000,Furniture,8,4.2
Backpack,1800,Fashion,30,4
Shoes,3500,Fashion,20,4.5
Watch,6500,Fashion,12,4.3
Refrigerator,45000,Appliances,7,4.6
Washing Machine,32000,Appliances,9,4.4
Mixer Grinder,5500,Appliances,18,4.2
Television,60000,Electronics,6,4.7
Bookshelf,7500,Furniture,10,4.1
T-Shirt,999,Fashion,50,3.9
Air Conditioner,48000,Appliances,5,4.6
